,DATE,G,A,TKA,Season,Player,Playoff/Regular,Date
0,Mon 6/24,1,0,2,2023-24,Sam Reinhart,Playoffs,2024-06-24
1,Fri 6/21,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-06-21
2,Tue 6/18,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-06-18
3,Sat 6/15,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-06-15
4,Thu 6/13,1,1,0,2023-24,Sam Reinhart,Playoffs,2024-06-13
5,Mon 6/10,0,0,1,2023-24,Sam Reinhart,Playoffs,2024-06-10
6,Sat 6/8,0,1,1,2023-24,Sam Reinhart,Playoffs,2024-06-08
7,Sat 6/1,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-06-01
8,Thu 5/30,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-30
9,Tue 5/28,1,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-28
10,Sun 5/26,2,0,3,2023-24,Sam Reinhart,Playoffs,2024-05-26
11,Fri 5/24,0,0,1,2023-24,Sam Reinhart,Playoffs,2024-05-24
12,Wed 5/22,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-22
13,Fri 5/17,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-17
14,Tue 5/14,1,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-14
15,Sun 5/12,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-12
16,Fri 5/10,1,0,0,2023-24,Sam Reinhart,Playoffs,2024-05-10
17,Wed 5/8,0,4,0,2023-24,Sam Reinhart,Playoffs,2024-05-08
18,Mon 5/6,0,0,1,2023-24,Sam Reinhart,Playoffs,2024-05-06
19,Mon 4/29,0,0,0,2023-24,Sam Reinhart,Playoffs,2024-04-29
20,Sat 4/27,1,0,0,2023-24,Sam Reinhart,Playoffs,2024-04-27
21,Thu 4/25,1,0,1,2023-24,Sam Reinhart,Playoffs,2024-04-25
22,Tue 4/23,0,0,1,2023-24,Sam Reinhart,Playoffs,2024-04-23
23,Sun 4/21,1,0,2,2023-24,Sam Reinhart,Playoffs,2024-04-21
24,Tue 4/16,2,0,0,2023-24,Sam Reinhart,Regular,2024-04-16
25,Sat 4/13,1,0,2,2023-24,Sam Reinhart,Regular,2024-04-13
26,Thu 4/11,1,0,0,2023-24,Sam Reinhart,Regular,2024-04-11
27,Tue 4/9,0,0,0,2023-24,Sam Reinhart,Regular,2024-04-09
28,Sat 4/6,0,1,0,2023-24,Sam Reinhart,Regular,2024-04-06
29,Thu 4/4,1,1,1,2023-24,Sam Reinhart,Regular,2024-04-04
30,Tue 4/2,0,0,0,2023-24,Sam Reinhart,Regular,2024-04-02
31,Mon 4/1,1,0,1,2023-24,Sam Reinhart,Regular,2024-04-01
32,Sat 3/30,0,1,1,2023-24,Sam Reinhart,Regular,2024-03-30
33,Thu 3/28,0,1,0,2023-24,Sam Reinhart,Regular,2024-03-28
34,Tue 3/26,1,0,1,2023-24,Sam Reinhart,Regular,2024-03-26
35,Sun 3/24,2,1,1,2023-24,Sam Reinhart,Regular,2024-03-24
36,Sat 3/23,0,1,0,2023-24,Sam Reinhart,Regular,2024-03-23
37,Thu 3/21,0,0,0,2023-24,Sam Reinhart,Regular,2024-03-21
38,Sat 3/16,2,0,3,2023-24,Sam Reinhart,Regular,2024-03-16
39,Thu 3/14,0,0,1,2023-24,Sam Reinhart,Regular,2024-03-14
40,Tue 3/12,1,0,1,2023-24,Sam Reinhart,Regular,2024-03-12
41,Sat 3/9,0,1,0,2023-24,Sam Reinhart,Regular,2024-03-09
42,Thu 3/7,0,0,0,2023-24,Sam Reinhart,Regular,2024-03-07
43,Tue 3/5,1,0,0,2023-24,Sam Reinhart,Regular,2024-03-05
44,Mon 3/4,2,0,0,2023-24,Sam Reinhart,Regular,2024-03-04
45,Sat 3/2,1,0,0,2023-24,Sam Reinhart,Regular,2024-03-02
46,Thu 2/29,2,1,0,2023-24,Sam Reinhart,Regular,2024-02-29
47,Tue 2/27,0,1,0,2023-24,Sam Reinhart,Regular,2024-02-27
48,Sat 2/24,0,0,1,2023-24,Sam Reinhart,Regular,2024-02-24
49,Thu 2/22,0,0,0,2023-24,Sam Reinhart,Regular,2024-02-22
50,Tue 2/20,0,1,0,2023-24,Sam Reinhart,Regular,2024-02-20
51,Sat 2/17,0,1,0,2023-24,Sam Reinhart,Regular,2024-02-17
52,Thu 2/15,0,1,0,2023-24,Sam Reinhart,Regular,2024-02-15
53,Wed 2/14,0,0,0,2023-24,Sam Reinhart,Regular,2024-02-14
54,Sat 2/10,1,0,2,2023-24,Sam Reinhart,Regular,2024-02-10
55,Thu 2/8,1,0,1,2023-24,Sam Reinhart,Regular,2024-02-08
56,Tue 2/6,0,0,1,2023-24,Sam Reinhart,Regular,2024-02-06
57,Sat 1/27,1,0,0,2023-24,Sam Reinhart,Regular,2024-01-27
58,Fri 1/26,1,0,1,2023-24,Sam Reinhart,Regular,2024-01-26
59,Wed 1/24,1,1,0,2023-24,Sam Reinhart,Regular,2024-01-24
60,Mon 1/22,1,0,1,2023-24,Sam Reinhart,Regular,2024-01-22
61,Fri 1/19,0,1,0,2023-24,Sam Reinhart,Regular,2024-01-19
62,Wed 1/17,1,0,1,2023-24,Sam Reinhart,Regular,2024-01-17
63,Mon 1/15,1,0,1,2023-24,Sam Reinhart,Regular,2024-01-15
64,Sat 1/13,1,0,0,2023-24,Sam Reinhart,Regular,2024-01-13
65,Thu 1/11,1,1,1,2023-24,Sam Reinhart,Regular,2024-01-11
66,Tue 1/9,1,0,1,2023-24,Sam Reinhart,Regular,2024-01-09
67,Sat 1/6,3,0,0,2023-24,Sam Reinhart,Regular,2024-01-06
68,Thu 1/4,1,1,0,2023-24,Sam Reinhart,Regular,2024-01-04
69,Tue 1/2,1,0,0,2023-24,Sam Reinhart,Regular,2024-01-02
70,Sat 12/30,0,0,1,2023-24,Sam Reinhart,Regular,2023-12-30
71,Fri 12/29,2,0,0,2023-24,Sam Reinhart,Regular,2023-12-29
72,Wed 12/27,2,0,0,2023-24,Sam Reinhart,Regular,2023-12-27
73,Sat 12/23,1,0,1,2023-24,Sam Reinhart,Regular,2023-12-23
74,Thu 12/21,0,0,0,2023-24,Sam Reinhart,Regular,2023-12-21
75,Mon 12/18,1,0,0,2023-24,Sam Reinhart,Regular,2023-12-18
76,Sat 12/16,0,1,0,2023-24,Sam Reinhart,Regular,2023-12-16
77,Thu 12/14,0,0,0,2023-24,Sam Reinhart,Regular,2023-12-14
78,Tue 12/12,0,0,0,2023-24,Sam Reinhart,Regular,2023-12-12
79,Sun 12/10,0,4,0,2023-24,Sam Reinhart,Regular,2023-12-10
80,Fri 12/8,0,1,0,2023-24,Sam Reinhart,Regular,2023-12-08
81,Wed 12/6,1,2,3,2023-24,Sam Reinhart,Regular,2023-12-06
82,Sat 12/2,1,0,0,2023-24,Sam Reinhart,Regular,2023-12-02
83,Thu 11/30,0,1,0,2023-24,Sam Reinhart,Regular,2023-11-30
84,Tue 11/28,0,0,1,2023-24,Sam Reinhart,Regular,2023-11-28
85,Mon 11/27,2,0,1,2023-24,Sam Reinhart,Regular,2023-11-27
86,Fri 11/24,0,0,0,2023-24,Sam Reinhart,Regular,2023-11-24
87,Wed 11/22,0,0,4,2023-24,Sam Reinhart,Regular,2023-11-22
88,Mon 11/20,0,1,0,2023-24,Sam Reinhart,Regular,2023-11-20
89,Fri 11/17,0,0,0,2023-24,Sam Reinhart,Regular,2023-11-17
90,Thu 11/16,1,0,0,2023-24,Sam Reinhart,Regular,2023-11-16
91,Tue 11/14,1,1,1,2023-24,Sam Reinhart,Regular,2023-11-14
92,Sun 11/12,2,2,2,2023-24,Sam Reinhart,Regular,2023-11-12
93,Fri 11/10,0,2,1,2023-24,Sam Reinhart,Regular,2023-11-10
94,Wed 11/8,1,1,0,2023-24,Sam Reinhart,Regular,2023-11-08
95,Mon 11/6,0,2,0,2023-24,Sam Reinhart,Regular,2023-11-06
96,Sat 11/4,0,0,0,2023-24,Sam Reinhart,Regular,2023-11-04
97,Thu 11/2,0,0,0,2023-24,Sam Reinhart,Regular,2023-11-02
98,Mon 10/30,1,1,0,2023-24,Sam Reinhart,Regular,2023-10-30
99,Sat 10/28,0,0,0,2023-24,Sam Reinhart,Regular,2023-10-28
100,Tue 10/24,1,0,1,2023-24,Sam Reinhart,Regular,2023-10-24
101,Sat 10/21,2,0,0,2023-24,Sam Reinhart,Regular,2023-10-21
102,Thu 10/19,1,1,1,2023-24,Sam Reinhart,Regular,2023-10-19
103,Mon 10/16,2,0,0,2023-24,Sam Reinhart,Regular,2023-10-16
104,Sat 10/14,1,1,0,2023-24,Sam Reinhart,Regular,2023-10-14
105,Thu 10/12,0,0,0,2023-24,Sam Reinhart,Regular,2023-10-12
106,Tue 6/13,1,1,0,2022-23,Sam Reinhart,Playoffs,2023-06-13
107,Sat 6/10,0,0,0,2022-23,Sam Reinhart,Playoffs,2023-06-10
108,Thu 6/8,0,0,2,2022-23,Sam Reinhart,Playoffs,2023-06-08
109,Mon 6/5,0,0,0,2022-23,Sam Reinhart,Playoffs,2023-06-05
110,Sat 6/3,0,0,0,2022-23,Sam Reinhart,Playoffs,2023-06-03
111,Wed 5/24,0,1,1,2022-23,Sam Reinhart,Playoffs,2023-05-24
112,Mon 5/22,1,0,2,2022-23,Sam Reinhart,Playoffs,2023-05-22
113,Sat 5/20,0,1,0,2022-23,Sam Reinhart,Playoffs,2023-05-20
114,Thu 5/18,0,0,1,2022-23,Sam Reinhart,Playoffs,2023-05-18
115,Fri 5/12,0,0,0,2022-23,Sam Reinhart,Playoffs,2023-05-12
116,Wed 5/10,1,0,1,2022-23,Sam Reinhart,Playoffs,2023-05-10
117,Sun 5/7,1,0,1,2022-23,Sam Reinhart,Playoffs,2023-05-07
118,Thu 5/4,0,1,3,2022-23,Sam Reinhart,Playoffs,2023-05-04
119,Tue 5/2,0,0,0,2022-23,Sam Reinhart,Playoffs,2023-05-02
120,Sun 4/30,1,0,2,2022-23,Sam Reinhart,Playoffs,2023-04-30
121,Fri 4/28,1,0,0,2022-23,Sam Reinhart,Playoffs,2023-04-28
122,Wed 4/26,1,0,1,2022-23,Sam Reinhart,Playoffs,2023-04-26
123,Sun 4/23,0,0,0,2022-23,Sam Reinhart,Playoffs,2023-04-23
124,Fri 4/21,1,0,1,2022-23,Sam Reinhart,Playoffs,2023-04-21
125,Wed 4/19,0,1,0,2022-23,Sam Reinhart,Playoffs,2023-04-19
126,Mon 4/17,0,0,1,2022-23,Sam Reinhart,Playoffs,2023-04-17
127,Thu 4/13,0,1,1,2022-23,Sam Reinhart,Regular,2023-04-13
128,Mon 4/10,0,0,1,2022-23,Sam Reinhart,Regular,2023-04-10
129,Sat 4/8,1,1,0,2022-23,Sam Reinhart,Regular,2023-04-08
130,Thu 4/6,1,1,0,2022-23,Sam Reinhart,Regular,2023-04-06
131,Tue 4/4,0,0,0,2022-23,Sam Reinhart,Regular,2023-04-04
132,Sat 4/1,1,2,0,2022-23,Sam Reinhart,Regular,2023-04-01
133,Thu 3/30,0,2,0,2022-23,Sam Reinhart,Regular,2023-03-30
134,Wed 3/29,1,1,0,2022-23,Sam Reinhart,Regular,2023-03-29
135,Mon 3/27,0,1,0,2022-23,Sam Reinhart,Regular,2023-03-27
136,Sat 3/25,0,0,1,2022-23,Sam Reinhart,Regular,2023-03-25
137,Thu 3/23,0,0,0,2022-23,Sam Reinhart,Regular,2023-03-23
138,Tue 3/21,1,1,0,2022-23,Sam Reinhart,Regular,2023-03-21
139,Mon 3/20,0,1,0,2022-23,Sam Reinhart,Regular,2023-03-20
140,Sat 3/18,2,0,0,2022-23,Sam Reinhart,Regular,2023-03-18
141,Thu 3/16,1,0,1,2022-23,Sam Reinhart,Regular,2023-03-16
142,Sat 3/11,1,1,0,2022-23,Sam Reinhart,Regular,2023-03-11
143,Fri 3/10,1,0,1,2022-23,Sam Reinhart,Regular,2023-03-10
144,Tue 3/7,0,0,0,2022-23,Sam Reinhart,Regular,2023-03-07
145,Sat 3/4,0,0,0,2022-23,Sam Reinhart,Regular,2023-03-04
146,Thu 3/2,0,0,0,2022-23,Sam Reinhart,Regular,2023-03-02
147,Tue 2/28,0,0,0,2022-23,Sam Reinhart,Regular,2023-02-28
148,Fri 2/24,0,0,1,2022-23,Sam Reinhart,Regular,2023-02-24
149,Mon 2/20,0,0,0,2022-23,Sam Reinhart,Regular,2023-02-20
150,Sat 2/18,1,0,1,2022-23,Sam Reinhart,Regular,2023-02-18
151,Thu 2/16,1,0,0,2022-23,Sam Reinhart,Regular,2023-02-16
152,Tue 2/14,0,0,0,2022-23,Sam Reinhart,Regular,2023-02-14
153,Mon 2/13,0,0,0,2022-23,Sam Reinhart,Regular,2023-02-13
154,Sat 2/11,0,2,0,2022-23,Sam Reinhart,Regular,2023-02-11
155,Thu 2/9,2,0,2,2022-23,Sam Reinhart,Regular,2023-02-09
156,Mon 2/6,0,0,0,2022-23,Sam Reinhart,Regular,2023-02-06
157,Sat 1/28,1,0,0,2022-23,Sam Reinhart,Regular,2023-01-28
158,Fri 1/27,0,0,0,2022-23,Sam Reinhart,Regular,2023-01-27
159,Tue 1/24,1,1,2,2022-23,Sam Reinhart,Regular,2023-01-24
160,Mon 1/23,0,0,0,2022-23,Sam Reinhart,Regular,2023-01-23
161,Sat 1/21,1,1,1,2022-23,Sam Reinhart,Regular,2023-01-21
162,Thu 1/19,1,2,0,2022-23,Sam Reinhart,Regular,2023-01-19
163,Tue 1/17,0,1,1,2022-23,Sam Reinhart,Regular,2023-01-17
164,Mon 1/16,0,1,0,2022-23,Sam Reinhart,Regular,2023-01-16
165,Sat 1/14,0,1,1,2022-23,Sam Reinhart,Regular,2023-01-14
166,Thu 1/12,1,0,0,2022-23,Sam Reinhart,Regular,2023-01-12
167,Tue 1/10,0,1,2,2022-23,Sam Reinhart,Regular,2023-01-10
168,Sun 1/8,0,0,0,2022-23,Sam Reinhart,Regular,2023-01-08
169,Fri 1/6,0,0,0,2022-23,Sam Reinhart,Regular,2023-01-06
170,Tue 1/3,0,1,0,2022-23,Sam Reinhart,Regular,2023-01-03
171,Sun 1/1,0,0,1,2022-23,Sam Reinhart,Regular,2023-01-01
172,Fri 12/30,0,0,0,2022-23,Sam Reinhart,Regular,2022-12-30
173,Thu 12/29,0,1,0,2022-23,Sam Reinhart,Regular,2022-12-29
174,Fri 12/23,0,0,0,2022-23,Sam Reinhart,Regular,2022-12-23
175,Wed 12/21,0,0,0,2022-23,Sam Reinhart,Regular,2022-12-21
176,Mon 12/19,1,1,2,2022-23,Sam Reinhart,Regular,2022-12-19
177,Sat 12/17,2,0,1,2022-23,Sam Reinhart,Regular,2022-12-17
178,Thu 12/15,1,0,1,2022-23,Sam Reinhart,Regular,2022-12-15
179,Tue 12/13,1,2,1,2022-23,Sam Reinhart,Regular,2022-12-13
