DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Wed 4/17,1,1,1,2023-24,Evgeni Malkin,N
Mon 4/15,0,0,0,2023-24,Evgeni Malkin,N
Sat 4/13,1,1,4,2023-24,Evgeni Malkin,N
Thu 4/11,0,0,2,2023-24,Evgeni Malkin,N
Mon 4/8,0,1,3,2023-24,Evgeni Malkin,N
Sat 4/6,2,1,0,2023-24,Evgeni Malkin,N
Thu 4/4,0,0,4,2023-24,Evgeni Malkin,N
Tue 4/2,2,1,0,2023-24,Evgeni Malkin,N
Mon 4/1,0,0,0,2023-24,Evgeni Malkin,N
Sat 3/30,0,1,3,2023-24,Evgeni Malkin,N
Thu 3/28,2,0,1,2023-24,Evgeni Malkin,N
Tue 3/26,0,0,2,2023-24,Evgeni Malkin,N
Sun 3/24,0,0,1,2023-24,Evgeni Malkin,N
Fri 3/22,0,2,2,2023-24,Evgeni Malkin,N
Tue 3/19,0,0,0,2023-24,Evgeni Malkin,N
Sun 3/17,0,1,0,2023-24,Evgeni Malkin,N
Sat 3/16,0,0,0,2023-24,Evgeni Malkin,N
Thu 3/14,1,0,0,2023-24,Evgeni Malkin,N
Tue 3/12,0,1,1,2023-24,Evgeni Malkin,N
Sun 3/10,0,0,1,2023-24,Evgeni Malkin,N
Sat 3/9,0,0,0,2023-24,Evgeni Malkin,N
Thu 3/7,0,0,0,2023-24,Evgeni Malkin,N
Tue 3/5,1,1,2,2023-24,Evgeni Malkin,N
Sun 3/3,1,0,1,2023-24,Evgeni Malkin,N
Sat 3/2,0,0,1,2023-24,Evgeni Malkin,N
Thu 2/29,0,0,3,2023-24,Evgeni Malkin,N
Tue 2/27,0,1,0,2023-24,Evgeni Malkin,N
Sun 2/25,0,1,0,2023-24,Evgeni Malkin,N
Thu 2/22,0,1,3,2023-24,Evgeni Malkin,N
Tue 2/20,0,1,2,2023-24,Evgeni Malkin,N
Sun 2/18,0,0,0,2023-24,Evgeni Malkin,N
Thu 2/15,0,0,0,2023-24,Evgeni Malkin,N
Wed 2/14,0,0,0,2023-24,Evgeni Malkin,N
Sat 2/10,0,0,1,2023-24,Evgeni Malkin,N
Fri 2/9,0,1,2,2023-24,Evgeni Malkin,N
