Player,Assists_STD_Playoffs,Goals_STD_Playoffs,Takeaways_STD_Playoffs,Assists_STD_Regular,Goals_STD_Regular,Takeaways_STD_Regular
Adam Henrique,0.39,0.44,0.62,0.57,0.56,0.56
Adrian Kempe,0.485,0.77,0.655,0.6,0.7,0.63
Aleksander Barkov,0.627,0.488,1.007,0.79,0.61,0.948
Alex Debrincat,0.73,0.44,1.01,0.69,0.5,0.71
Alex Ovechkin,0.589,0.607,0.627,0.624,0.763,0.636
Alex Tuch,0.412,0.522,0.768,0.545,0.478,0.878
Anze Kopitar,0.772,0.462,0.782,0.758,0.61,0.798
Artemi Panarin,0.748,0.542,0.825,0.92,0.627,0.862
Auston Matthews,0.652,0.561,1.022,0.698,0.758,1.038
Blake Coleman,0.53,0.473,0.847,0.477,0.517,0.74
Brad Marchand,0.921,0.595,0.764,0.818,0.65,0.849
Brayden Point,0.712,0.598,0.795,0.712,0.618,0.757
Brock Nelson,0.578,0.528,0.708,0.562,0.606,0.73
Cale Makar,0.837,0.478,1.318,0.844,0.502,0.884
Charlie Coyle,0.49,0.426,0.76,0.517,0.449,0.726
Chris Kreider,0.562,0.688,0.618,0.542,0.628,0.578
Clayton Keller,0.5,0.53,0.78,0.55,0.58,0.74
Cole Caufield,0.6,0.41,0.6,0.32,0.52,0.48
Connor Mcdavid,1.082,0.703,0.905,1.002,0.702,0.927
David Pastrnak,0.687,0.656,0.739,0.779,0.756,0.779
Dylan Strome,0.395,0.45,0.825,0.7,0.54,0.795
Elias Pettersson,0.64,0.39,0.57,0.83,0.64,0.775
Erik Karlsson,0.82,0.39,0.87,0.84,0.34,1.005
Evan Bouchard,0.913,0.44,0.71,0.723,0.4,0.863
Evgeni Malkin,0.783,0.517,1.005,0.727,0.635,0.937
Filip Forsberg,0.583,0.591,0.737,0.649,0.65,0.913
Frank Vatrano,0.505,0.425,0.49,0.39,0.52,0.605
Gustav Nyquist,0.64,0.305,0.865,0.685,0.49,0.76
J.T. Miller,0.83,0.42,0.663,0.8,0.587,0.823
Jack Eichel,0.83,0.54,0.715,0.69,0.66,0.885
Jack Hughes,0.67,0.67,0.72,0.77,0.75,0.94
Jared Mccann,0.46,0.35,0.76,0.58,0.66,0.75
Jason Robertson,0.71,0.57,0.933,0.767,0.683,0.86
Jesper Bratt,0.79,0.29,0.78,0.63,0.66,0.84
Joe Pavelski,0.57,0.661,0.764,0.665,0.566,0.658
Joel Eriksson Ek,0.45,0.665,0.61,0.475,0.565,0.605
Joel Farabee,0.39,0.45,0.65,0.48,0.41,0.69
John Carlson,0.622,0.428,0.842,0.688,0.39,0.76
Johnny Gaudreau,0.69,0.485,0.935,0.85,0.58,0.78
Jonathan Marchessault,0.595,0.632,0.702,0.595,0.615,0.767
Jordan Kyrou,0.39,0.67,1.36,0.8,0.61,0.76
Josh Morrissey,0.487,0.383,0.547,0.663,0.29,0.597
Kevin Fiala,0.405,0.56,0.96,0.605,0.568,0.795
Kirill Kaprizov,0.395,0.83,0.85,0.76,0.67,0.765
Kyle Connor,0.574,0.656,0.958,0.678,0.664,0.738
Leon Draisaitl,1.005,0.893,0.867,0.952,0.72,1.028
Mark Scheifele,0.722,0.71,0.802,0.815,0.605,0.928
Martin Necas,0.57,0.507,0.38,0.63,0.507,0.618
Mathew Barzal,0.718,0.552,0.678,0.712,0.518,1.007
Matt Duchene,0.602,0.555,0.802,0.632,0.602,0.762
Matthew Tkachuk,0.61,0.682,0.654,0.866,0.646,0.762
Mikael Granlund,0.68,0.465,1.225,0.545,0.42,0.74
Mike Matheson,1.11,0.38,0.95,0.48,0.39,0.81
Mikko Rantanen,0.758,0.63,1.003,0.842,0.687,0.78
Mitchell Marner,0.678,0.527,1.082,0.88,0.567,1.052
Nathan Mackinnon,0.668,0.775,0.76,0.892,0.673,0.717
Nazem Kadri,0.642,0.668,0.715,0.672,0.578,0.735
Nick Foligno,0.468,0.492,0.66,0.508,0.438,0.705
Nick Suzuki,0.575,0.59,0.88,0.665,0.455,0.69
Nico Hischier,0.52,0.29,1.0,0.72,0.54,1.05
Nikita Kucherov,0.913,0.58,0.775,0.854,0.61,0.76
Oliver Bjorkstrand,0.49,0.48,0.9,0.51,0.463,0.693
Owen Tippett,0.84,0.41,0.84,0.48,0.37,0.58
Pavel Buchnevich,0.83,0.29,0.98,0.74,0.62,0.92
Quinn Hughes,0.81,0.33,0.95,0.84,0.37,0.68
Robert Thomas,0.55,0.383,0.587,0.773,0.43,0.8
Roman Josi,0.59,0.432,0.532,0.82,0.48,0.622
Sam Reinhart,0.537,0.52,0.807,0.71,0.673,0.717
Sebastian Aho,0.74,0.607,1.0,0.742,0.687,0.925
Seth Jarvis,0.59,0.567,0.867,0.583,0.523,0.603
Sidney Crosby,0.713,0.563,0.775,0.825,0.607,0.828
Steven Stamkos,0.522,0.593,0.627,0.733,0.66,0.517
Vince Dunn,0.56,0.29,0.695,0.605,0.39,0.635
Vincent Trocheck,0.54,0.49,0.793,0.72,0.527,0.68
William Karlsson,0.642,0.522,0.888,0.615,0.485,0.858
William Nylander,0.803,0.492,0.833,0.657,0.528,0.87
Zach Werenski,0.59,0.35,0.733,0.567,0.47,0.74
