Player,Season,Assists_Playoffs,Assists_Regular,Goals_Playoffs,Goals_Regular,Takeaways_Playoffs,Takeaways_Regular
Adam Henrique,2015-16,,2.16,,1.55,,1.42
Adam Henrique,2016-17,,1.99,,1.89,,1.22
Adam Henrique,2017-18,0.0,1.7,0.0,1.89,2.02,1.6
Adam Henrique,2018-19,,1.65,,2.15,,1.93
Adam Henrique,2019-20,,2.05,,1.68,,1.86
Adam Henrique,2020-21,,2.52,,1.68,,1.98
Adam Henrique,2021-22,,1.33,,1.66,,1.73
Adam Henrique,2022-23,,1.85,,1.62,,1.53
Adam Henrique,2023-24,1.3,1.87,1.55,1.96,1.65,1.49
Adrian Kempe,2016-17,,2.95,,3.46,,2.04
Adrian Kempe,2017-18,0.0,2.0,0.0,2.58,0.0,2.12
Adrian Kempe,2018-19,,2.03,,2.64,,1.87
Adrian Kempe,2019-20,,1.62,,2.55,,1.46
Adrian Kempe,2020-21,,1.95,,2.32,,2.07
Adrian Kempe,2021-22,1.98,1.9,1.74,1.51,0.0,1.59
Adrian Kempe,2022-23,1.66,1.5,1.44,1.57,2.62,1.49
Adrian Kempe,2023-24,0.72,1.21,2.02,1.49,1.08,1.91
Aleksander Barkov,2015-16,0.92,1.38,1.24,1.46,2.36,1.01
Aleksander Barkov,2016-17,,1.33,,1.49,,1.04
Aleksander Barkov,2017-18,,1.29,,1.55,,1.1
Aleksander Barkov,2018-19,,1.3,,1.61,,0.99
Aleksander Barkov,2019-20,0.78,1.3,1.67,1.75,0.67,1.27
Aleksander Barkov,2020-21,0.93,1.06,0.85,1.34,0.71,1.39
Aleksander Barkov,2021-22,1.01,1.18,0.79,1.39,1.05,1.24
Aleksander Barkov,2022-23,0.92,1.12,1.39,1.95,1.42,1.09
Aleksander Barkov,2023-24,1.13,1.25,1.99,1.64,0.99,0.87
Alex Debrincat,2017-18,,1.65,,2.02,,1.6
Alex Debrincat,2018-19,,1.65,,1.38,,1.12
Alex Debrincat,2019-20,1.85,1.75,1.74,1.98,1.78,1.25
Alex Debrincat,2020-21,,1.51,,1.12,,1.3
Alex Debrincat,2021-22,,1.68,,1.27,,1.06
Alex Debrincat,2022-23,,1.45,,1.72,,1.44
Alex Debrincat,2023-24,,1.37,,1.96,,1.5
Alex Ovechkin,2015-16,2.17,1.7,1.11,1.22,2.42,1.64
Alex Ovechkin,2016-17,1.46,1.44,1.27,1.66,2.05,1.68
Alex Ovechkin,2017-18,1.25,1.67,1.07,1.35,1.59,1.4
Alex Ovechkin,2018-19,1.95,1.3,0.86,1.33,0.83,1.41
Alex Ovechkin,2019-20,1.34,1.84,1.35,1.34,0.93,1.77
Alex Ovechkin,2020-21,1.37,1.54,1.05,1.27,2.79,1.9
