DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Mon 6/24,1,0,2,2023-24,Sam Reinhart,Y
Fri 6/21,0,0,0,2023-24,Sam Reinhart,Y
Tue 6/18,0,0,0,2023-24,Sam Reinhart,Y
Sat 6/15,0,0,0,2023-24,Sam Reinhart,Y
Thu 6/13,1,1,0,2023-24,Sam Reinhart,Y
Mon 6/10,0,0,1,2023-24,Sam Reinhart,Y
Sat 6/8,0,1,1,2023-24,Sam Reinhart,Y
Sat 6/1,0,0,0,2023-24,Sam Reinhart,Y
Thu 5/30,0,0,0,2023-24,Sam Reinhart,Y
Tue 5/28,1,0,0,2023-24,Sam Reinhart,Y
Sun 5/26,2,0,3,2023-24,Sam Reinhart,Y
Fri 5/24,0,0,1,2023-24,Sam Reinhart,Y
Wed 5/22,0,0,0,2023-24,Sam Reinhart,Y
Fri 5/17,0,0,0,2023-24,Sam Reinhart,Y
Tue 5/14,1,0,0,2023-24,Sam Reinhart,Y
Sun 5/12,0,0,0,2023-24,Sam Reinhart,Y
Fri 5/10,1,0,0,2023-24,Sam Reinhart,Y
Wed 5/8,0,4,0,2023-24,Sam Reinhart,Y
Mon 5/6,0,0,1,2023-24,Sam Reinhart,Y
Mon 4/29,0,0,0,2023-24,Sam Reinhart,Y
Sat 4/27,1,0,0,2023-24,Sam Reinhart,Y
Thu 4/25,1,0,1,2023-24,Sam Reinhart,Y
Tue 4/23,0,0,1,2023-24,Sam Reinhart,Y
Sun 4/21,1,0,2,2023-24,Sam Reinhart,Y
Tue 4/16,2,0,0,2023-24,Sam Reinhart,N
Sat 4/13,1,0,2,2023-24,Sam Reinhart,N
Thu 4/11,1,0,0,2023-24,Sam Reinhart,N
Tue 4/9,0,0,0,2023-24,Sam Reinhart,N
Sat 4/6,0,1,0,2023-24,Sam Reinhart,N
Thu 4/4,1,1,1,2023-24,Sam Reinhart,N
Tue 4/2,0,0,0,2023-24,Sam Reinhart,N
Mon 4/1,1,0,1,2023-24,Sam Reinhart,N
Sat 3/30,0,1,1,2023-24,Sam Reinhart,N
Thu 3/28,0,1,0,2023-24,Sam Reinhart,N
Tue 3/26,1,0,1,2023-24,Sam Reinhart,N
Sun 3/24,2,1,1,2023-24,Sam Reinhart,N
Sat 3/23,0,1,0,2023-24,Sam Reinhart,N
Thu 3/21,0,0,0,2023-24,Sam Reinhart,N
Sat 3/16,2,0,3,2023-24,Sam Reinhart,N
Thu 3/14,0,0,1,2023-24,Sam Reinhart,N
Tue 3/12,1,0,1,2023-24,Sam Reinhart,N
Sat 3/9,0,1,0,2023-24,Sam Reinhart,N
Thu 3/7,0,0,0,2023-24,Sam Reinhart,N
Tue 3/5,1,0,0,2023-24,Sam Reinhart,N
Mon 3/4,2,0,0,2023-24,Sam Reinhart,N
Sat 3/2,1,0,0,2023-24,Sam Reinhart,N
Thu 2/29,2,1,0,2023-24,Sam Reinhart,N
Tue 2/27,0,1,0,2023-24,Sam Reinhart,N
Sat 2/24,0,0,1,2023-24,Sam Reinhart,N
Thu 2/22,0,0,0,2023-24,Sam Reinhart,N
Tue 2/20,0,1,0,2023-24,Sam Reinhart,N
Sat 2/17,0,1,0,2023-24,Sam Reinhart,N
Thu 2/15,0,1,0,2023-24,Sam Reinhart,N
Wed 2/14,0,0,0,2023-24,Sam Reinhart,N
Sat 2/10,1,0,2,2023-24,Sam Reinhart,N
Thu 2/8,1,0,1,2023-24,Sam Reinhart,N
Tue 2/6,0,0,1,2023-24,Sam Reinhart,N
Sat 1/27,1,0,0,2023-24,Sam Reinhart,N
Fri 1/26,1,0,1,2023-24,Sam Reinhart,N
Wed 1/24,1,1,0,2023-24,Sam Reinhart,N
Mon 1/22,1,0,1,2023-24,Sam Reinhart,N
Fri 1/19,0,1,0,2023-24,Sam Reinhart,N
Wed 1/17,1,0,1,2023-24,Sam Reinhart,N
Mon 1/15,1,0,1,2023-24,Sam Reinhart,N
Sat 1/13,1,0,0,2023-24,Sam Reinhart,N
Thu 1/11,1,1,1,2023-24,Sam Reinhart,N
Tue 1/9,1,0,1,2023-24,Sam Reinhart,N
Sat 1/6,3,0,0,2023-24,Sam Reinhart,N
Thu 1/4,1,1,0,2023-24,Sam Reinhart,N
Tue 1/2,1,0,0,2023-24,Sam Reinhart,N
Sat 12/30,0,0,1,2023-24,Sam Reinhart,N
Fri 12/29,2,0,0,2023-24,Sam Reinhart,N
Wed 12/27,2,0,0,2023-24,Sam Reinhart,N
Sat 12/23,1,0,1,2023-24,Sam Reinhart,N
Thu 12/21,0,0,0,2023-24,Sam Reinhart,N
Mon 12/18,1,0,0,2023-24,Sam Reinhart,N
Sat 12/16,0,1,0,2023-24,Sam Reinhart,N
Thu 12/14,0,0,0,2023-24,Sam Reinhart,N
Tue 12/12,0,0,0,2023-24,Sam Reinhart,N
Sun 12/10,0,4,0,2023-24,Sam Reinhart,N
Fri 12/8,0,1,0,2023-24,Sam Reinhart,N
Wed 12/6,1,2,3,2023-24,Sam Reinhart,N
Sat 12/2,1,0,0,2023-24,Sam Reinhart,N
Thu 11/30,0,1,0,2023-24,Sam Reinhart,N
Tue 11/28,0,0,1,2023-24,Sam Reinhart,N
Mon 11/27,2,0,1,2023-24,Sam Reinhart,N
Fri 11/24,0,0,0,2023-24,Sam Reinhart,N
Wed 11/22,0,0,4,2023-24,Sam Reinhart,N
Mon 11/20,0,1,0,2023-24,Sam Reinhart,N
Fri 11/17,0,0,0,2023-24,Sam Reinhart,N
Thu 11/16,1,0,0,2023-24,Sam Reinhart,N
Tue 11/14,1,1,1,2023-24,Sam Reinhart,N
Sun 11/12,2,2,2,2023-24,Sam Reinhart,N
Fri 11/10,0,2,1,2023-24,Sam Reinhart,N
Wed 11/8,1,1,0,2023-24,Sam Reinhart,N
Mon 11/6,0,2,0,2023-24,Sam Reinhart,N
Sat 11/4,0,0,0,2023-24,Sam Reinhart,N
Thu 11/2,0,0,0,2023-24,Sam Reinhart,N
Mon 10/30,1,1,0,2023-24,Sam Reinhart,N
Sat 10/28,0,0,0,2023-24,Sam Reinhart,N
Tue 10/24,1,0,1,2023-24,Sam Reinhart,N
Sat 10/21,2,0,0,2023-24,Sam Reinhart,N
Thu 10/19,1,1,1,2023-24,Sam Reinhart,N
Mon 10/16,2,0,0,2023-24,Sam Reinhart,N
Sat 10/14,1,1,0,2023-24,Sam Reinhart,N
Thu 10/12,0,0,0,2023-24,Sam Reinhart,N
Tue 6/13,1,1,0,2022-23,Sam Reinhart,Y
Sat 6/10,0,0,0,2022-23,Sam Reinhart,Y
Thu 6/8,0,0,2,2022-23,Sam Reinhart,Y
Mon 6/5,0,0,0,2022-23,Sam Reinhart,Y
Sat 6/3,0,0,0,2022-23,Sam Reinhart,Y
Wed 5/24,0,1,1,2022-23,Sam Reinhart,Y
Mon 5/22,1,0,2,2022-23,Sam Reinhart,Y
Sat 5/20,0,1,0,2022-23,Sam Reinhart,Y
Thu 5/18,0,0,1,2022-23,Sam Reinhart,Y
Fri 5/12,0,0,0,2022-23,Sam Reinhart,Y
Wed 5/10,1,0,1,2022-23,Sam Reinhart,Y
Sun 5/7,1,0,1,2022-23,Sam Reinhart,Y
Thu 5/4,0,1,3,2022-23,Sam Reinhart,Y
Tue 5/2,0,0,0,2022-23,Sam Reinhart,Y
Sun 4/30,1,0,2,2022-23,Sam Reinhart,Y
Fri 4/28,1,0,0,2022-23,Sam Reinhart,Y
Wed 4/26,1,0,1,2022-23,Sam Reinhart,Y
Sun 4/23,0,0,0,2022-23,Sam Reinhart,Y
Fri 4/21,1,0,1,2022-23,Sam Reinhart,Y
Wed 4/19,0,1,0,2022-23,Sam Reinhart,Y
Mon 4/17,0,0,1,2022-23,Sam Reinhart,Y
Thu 4/13,0,1,1,2022-23,Sam Reinhart,N
Mon 4/10,0,0,1,2022-23,Sam Reinhart,N
Sat 4/8,1,1,0,2022-23,Sam Reinhart,N
Thu 4/6,1,1,0,2022-23,Sam Reinhart,N
Tue 4/4,0,0,0,2022-23,Sam Reinhart,N
Sat 4/1,1,2,0,2022-23,Sam Reinhart,N
Thu 3/30,0,2,0,2022-23,Sam Reinhart,N
Wed 3/29,1,1,0,2022-23,Sam Reinhart,N
Mon 3/27,0,1,0,2022-23,Sam Reinhart,N
Sat 3/25,0,0,1,2022-23,Sam Reinhart,N
Thu 3/23,0,0,0,2022-23,Sam Reinhart,N
Tue 3/21,1,1,0,2022-23,Sam Reinhart,N
Mon 3/20,0,1,0,2022-23,Sam Reinhart,N
Sat 3/18,2,0,0,2022-23,Sam Reinhart,N
Thu 3/16,1,0,1,2022-23,Sam Reinhart,N
Sat 3/11,1,1,0,2022-23,Sam Reinhart,N
Fri 3/10,1,0,1,2022-23,Sam Reinhart,N
Tue 3/7,0,0,0,2022-23,Sam Reinhart,N
Sat 3/4,0,0,0,2022-23,Sam Reinhart,N
Thu 3/2,0,0,0,2022-23,Sam Reinhart,N
Tue 2/28,0,0,0,2022-23,Sam Reinhart,N
Fri 2/24,0,0,1,2022-23,Sam Reinhart,N
Mon 2/20,0,0,0,2022-23,Sam Reinhart,N
Sat 2/18,1,0,1,2022-23,Sam Reinhart,N
Thu 2/16,1,0,0,2022-23,Sam Reinhart,N
Tue 2/14,0,0,0,2022-23,Sam Reinhart,N
Mon 2/13,0,0,0,2022-23,Sam Reinhart,N
Sat 2/11,0,2,0,2022-23,Sam Reinhart,N
Thu 2/9,2,0,2,2022-23,Sam Reinhart,N
Mon 2/6,0,0,0,2022-23,Sam Reinhart,N
Sat 1/28,1,0,0,2022-23,Sam Reinhart,N
Fri 1/27,0,0,0,2022-23,Sam Reinhart,N
Tue 1/24,1,1,2,2022-23,Sam Reinhart,N
Mon 1/23,0,0,0,2022-23,Sam Reinhart,N
Sat 1/21,1,1,1,2022-23,Sam Reinhart,N
Thu 1/19,1,2,0,2022-23,Sam Reinhart,N
Tue 1/17,0,1,1,2022-23,Sam Reinhart,N
Mon 1/16,0,1,0,2022-23,Sam Reinhart,N
Sat 1/14,0,1,1,2022-23,Sam Reinhart,N
Thu 1/12,1,0,0,2022-23,Sam Reinhart,N
Tue 1/10,0,1,2,2022-23,Sam Reinhart,N
Sun 1/8,0,0,0,2022-23,Sam Reinhart,N
Fri 1/6,0,0,0,2022-23,Sam Reinhart,N
Tue 1/3,0,1,0,2022-23,Sam Reinhart,N
Sun 1/1,0,0,1,2022-23,Sam Reinhart,N
Fri 12/30,0,0,0,2022-23,Sam Reinhart,N
Thu 12/29,0,1,0,2022-23,Sam Reinhart,N
Fri 12/23,0,0,0,2022-23,Sam Reinhart,N
Wed 12/21,0,0,0,2022-23,Sam Reinhart,N
Mon 12/19,1,1,2,2022-23,Sam Reinhart,N
Sat 12/17,2,0,1,2022-23,Sam Reinhart,N
Thu 12/15,1,0,1,2022-23,Sam Reinhart,N
Tue 12/13,1,2,1,2022-23,Sam Reinhart,N
Sun 12/11,0,0,0,2022-23,Sam Reinhart,N
Sat 12/10,0,0,0,2022-23,Sam Reinhart,N
Thu 12/8,0,1,0,2022-23,Sam Reinhart,N
Tue 12/6,0,0,0,2022-23,Sam Reinhart,N
Sat 12/3,0,0,1,2022-23,Sam Reinhart,N
Thu 12/1,0,1,0,2022-23,Sam Reinhart,N
Tue 11/29,1,0,1,2022-23,Sam Reinhart,N
Mon 11/28,0,1,2,2022-23,Sam Reinhart,N
Sat 11/26,0,2,0,2022-23,Sam Reinhart,N
Wed 11/23,1,1,2,2022-23,Sam Reinhart,N
Sun 11/20,0,0,0,2022-23,Sam Reinhart,N
Sat 11/19,1,0,1,2022-23,Sam Reinhart,N
Thu 11/17,1,0,1,2022-23,Sam Reinhart,N
Tue 11/15,1,0,0,2022-23,Sam Reinhart,N
