,Unnamed: 0,Player,Season,Assists_STD_Playoffs,Assists_STD_Regular,Goals_STD_Playoffs,Goals_STD_Regular,Takeaways_STD_Playoffs,Takeaways_STD_Regular
35,35,Alex Ovechkin,2017-18,0.59,0.79,0.65,0.81,0.58,0.51
43,43,Alex Tuch,2017-18,0.41,0.51,0.57,0.43,1.27,0.86
52,52,Anze Kopitar,2017-18,0.5,0.68,0.5,0.7,0.82,0.77
61,61,Artemi Panarin,2017-18,0.98,0.97,0.52,0.59,0.52,0.98
69,69,Auston Matthews,2017-18,0.38,0.62,0.38,0.64,1.15,0.91
77,77,Blake Coleman,2017-18,0.0,0.36,0.55,0.41,1.41,0.96
86,86,Brad Marchand,2017-18,1.38,0.84,0.49,0.63,0.65,0.89
100,100,Brayden Point,2017-18,0.8,0.65,0.51,0.56,0.87,0.81
164,164,David Pastrnak,2017-18,1.34,0.74,0.9,0.63,0.65,0.86
216,216,Evgeni Malkin,2017-18,0.53,0.75,0.53,0.68,0.87,0.97
228,228,Filip Forsberg,2017-18,0.85,0.74,0.78,0.67,0.9,0.81
254,254,J.T. Miller,2017-18,0.61,0.67,0.33,0.55,0.71,0.88
298,298,Joe Pavelski,2017-18,0.84,0.69,0.42,0.52,0.71,0.72
320,320,John Carlson,2017-18,0.92,0.69,0.41,0.39,1.25,0.97
338,338,Jonathan Marchessault,2017-18,0.75,0.76,0.68,0.51,0.85,0.9
352,352,Josh Morrissey,2017-18,0.25,0.48,0.25,0.28,0.63,0.5
361,361,Kevin Fiala,2017-18,0.29,0.54,0.45,0.53,0.87,0.73
375,375,Kyle Connor,2017-18,0.62,0.58,0.53,0.61,0.87,0.72
396,396,Mark Scheifele,2017-18,0.61,0.8,0.88,0.67,0.62,0.94
442,442,Mikael Granlund,2017-18,0.55,0.73,0.45,0.62,0.0,0.62
468,468,Mitchell Marner,2017-18,0.58,0.83,0.49,0.47,0.98,1.02
477,477,Nathan Mackinnon,2017-18,0.55,0.93,0.84,0.71,0.0,0.58
495,495,Nick Foligno,2017-18,0.41,0.55,0.82,0.44,0.55,0.65
515,515,Nico Hischier,2017-18,0.0,0.6,0.45,0.49,0.55,0.8
524,524,Nikita Kucherov,2017-18,0.71,0.85,0.62,0.6,0.64,0.87
538,538,Oliver Bjorkstrand,2017-18,0.52,0.6,0.41,0.41,0.55,0.59
611,611,Sidney Crosby,2017-18,0.95,0.86,0.87,0.55,0.62,0.84
620,620,Steven Stamkos,2017-18,0.51,0.87,0.51,0.6,0.62,0.48
638,638,Travis Konecny,2017-18,0.0,0.58,0.41,0.51,0.52,0.58
673,673,William Karlsson,2017-18,0.75,0.59,0.59,0.72,1.09,0.98
682,682,William Nylander,2017-18,0.79,0.59,0.38,0.51,0.53,0.97
694,694,Zach Werenski,2017-18,0.82,0.58,0.41,0.41,0.82,0.71
