,Player,Season,Assists_STD_Playoffs,Assists_STD_Regular,Goals_STD_Playoffs,Goals_STD_Regular,Takeaways_STD_Playoffs,Takeaways_STD_Regular
0,Adam Henrique,2015-16,,0.54,,0.58,,0.67
1,Adam Henrique,2016-17,,0.49,,0.46,,0.67
2,Adam Henrique,2017-18,0.0,0.52,0.0,0.53,1.0,0.79
3,Adam Henrique,2018-19,,0.48,,0.47,,0.92
4,Adam Henrique,2019-20,,0.49,,0.62,,0.68
5,Adam Henrique,2020-21,,0.5,,0.45,,0.48
6,Adam Henrique,2021-22,,0.53,,0.54,,0.54
7,Adam Henrique,2022-23,,0.48,,0.58,,0.64
8,Adam Henrique,2023-24,0.39,0.57,0.44,0.56,0.62,0.56
9,Adrian Kempe,2016-17,,0.47,,0.28,,0.41
10,Adrian Kempe,2017-18,0.0,0.49,0.0,0.49,0.0,0.65
11,Adrian Kempe,2018-19,,0.4,,0.39,,0.46
12,Adrian Kempe,2019-20,,0.49,,0.41,,0.51
13,Adrian Kempe,2020-21,,0.52,,0.58,,0.56
14,Adrian Kempe,2021-22,0.53,0.51,0.76,0.66,0.0,0.64
15,Adrian Kempe,2022-23,0.55,0.49,0.75,0.82,0.89,0.51
16,Adrian Kempe,2023-24,0.42,0.71,0.79,0.58,0.42,0.75
17,Aleksander Barkov,2015-16,0.41,0.61,0.52,0.61,1.83,0.79
18,Aleksander Barkov,2016-17,,0.67,,0.51,,0.83
19,Aleksander Barkov,2017-18,,0.83,,0.53,,1.14
20,Aleksander Barkov,2018-19,,0.97,,0.69,,1.21
21,Aleksander Barkov,2019-20,0.5,0.83,0.5,0.53,0.5,0.94
22,Aleksander Barkov,2020-21,0.63,0.72,0.41,0.65,0.52,1.02
23,Aleksander Barkov,2021-22,0.71,0.83,0.42,0.74,0.94,1.11
24,Aleksander Barkov,2022-23,0.68,0.83,0.44,0.61,1.28,0.98
25,Aleksander Barkov,2023-24,0.83,0.92,0.64,0.52,0.97,0.85
26,Alex Debrincat,2017-18,,0.48,,0.69,,0.65
27,Alex Debrincat,2018-19,,0.7,,0.69,,0.7
28,Alex Debrincat,2019-20,0.73,0.69,0.44,0.5,1.01,0.71
29,Alex Debrincat,2020-21,,0.7,,0.69,,0.77
30,Alex Debrincat,2021-22,,0.76,,0.63,,0.86
31,Alex Debrincat,2022-23,,0.69,,0.57,,0.77
32,Alex Debrincat,2023-24,,0.67,,0.65,,0.9
33,Alex Ovechkin,2015-16,0.67,0.52,0.67,0.74,0.8,0.54
34,Alex Ovechkin,2016-17,0.6,0.59,0.51,0.66,0.78,0.64
35,Alex Ovechkin,2017-18,0.59,0.79,0.65,0.81,0.58,0.51
36,Alex Ovechkin,2018-19,0.95,0.63,0.53,0.83,0.49,0.83
37,Alex Ovechkin,2019-20,0.35,0.48,0.93,0.92,0.35,0.67
38,Alex Ovechkin,2020-21,0.55,0.62,0.55,0.66,0.84,0.57
39,Alex Ovechkin,2021-22,0.41,0.74,0.41,0.72,0.55,0.69
40,Alex Ovechkin,2022-23,,0.65,,0.78,,0.66
41,Alex Ovechkin,2023-24,0.0,0.57,0.0,0.63,0.0,0.57
42,Alex Tuch,2016-17,,0.0,,0.0,,0.52
43,Alex Tuch,2017-18,0.41,0.51,0.57,0.43,1.27,0.86
44,Alex Tuch,2018-19,0.38,0.58,0.38,0.48,0.53,1.01
45,Alex Tuch,2019-20,0.41,0.56,0.6,0.45,0.69,0.66
46,Alex Tuch,2020-21,0.45,0.53,0.54,0.55,0.58,0.98
47,Alex Tuch,2021-22,,0.71,,0.43,,0.9
48,Alex Tuch,2022-23,,0.78,,0.73,,0.85
49,Alex Tuch,2023-24,,0.76,,0.51,,0.91
50,Anze Kopitar,2015-16,0.55,0.82,0.55,0.58,0.0,0.71
51,Anze Kopitar,2016-17,,0.77,,0.37,,0.59
52,Anze Kopitar,2017-18,0.5,0.68,0.5,0.7,0.82,0.77
53,Anze Kopitar,2018-19,,0.69,,0.5,,0.97
54,Anze Kopitar,2019-20,,0.75,,0.52,,0.67
55,Anze Kopitar,2020-21,,0.75,,0.47,,0.49
56,Anze Kopitar,2021-22,0.53,0.77,0.38,0.53,0.53,0.86
57,Anze Kopitar,2022-23,1.17,0.89,0.52,0.67,0.89,0.76
58,Anze Kopitar,2023-24,0.89,0.69,0.45,0.54,0.89,0.8
59,Artemi Panarin,2015-16,0.76,0.84,0.49,0.68,1.07,0.58
60,Artemi Panarin,2016-17,0.5,0.65,0.0,0.56,1.26,0.8
61,Artemi Panarin,2017-18,0.98,0.97,0.52,0.59,0.52,0.98
62,Artemi Panarin,2018-19,0.52,0.93,0.71,0.58,1.2,0.74
63,Artemi Panarin,2019-20,0.58,0.9,0.58,0.63,0.58,1.14
64,Artemi Panarin,2020-21,,1.05,,0.63,,0.8
65,Artemi Panarin,2021-22,0.69,0.99,0.47,0.51,1.24,0.96
66,Artemi Panarin,2022-23,0.76,0.92,0.0,0.67,0.0,0.65
67,Artemi Panarin,2023-24,0.96,0.89,0.48,0.77,0.34,0.77
68,Auston Matthews,2016-17,0.41,0.69,0.52,0.72,0.82,1.19
69,Auston Matthews,2017-18,0.38,0.62,0.38,0.64,1.15,0.91
70,Auston Matthews,2018-19,0.38,0.66,0.76,0.72,0.82,0.82
71,Auston Matthews,2019-20,0.84,0.76,0.55,0.76,1.14,1.11
72,Auston Matthews,2020-21,0.79,0.64,0.38,0.78,1.29,0.98
73,Auston Matthews,2021-22,0.76,0.79,0.79,0.89,1.11,1.37
74,Auston Matthews,2022-23,0.82,0.77,0.69,0.62,1.01,1.03
75,Auston Matthews,2023-24,0.84,0.65,0.42,0.93,0.84,0.89
76,Blake Coleman,2016-17,,0.21,,0.21,,0.67
77,Blake Coleman,2017-18,0.0,0.36,0.55,0.41,1.41,0.96
78,Blake Coleman,2018-19,,0.42,,0.51,,0.64
79,Blake Coleman,2019-20,0.48,0.45,0.5,0.64,0.71,0.8
80,Blake Coleman,2020-21,0.49,0.57,0.34,0.48,0.66,0.83
81,Blake Coleman,2021-22,0.62,0.41,0.58,0.43,1.17,0.59
82,Blake Coleman,2022-23,,0.49,,0.45,,0.76
83,Blake Coleman,2023-24,,0.52,,0.56,,0.75
84,Brad Marchand,2015-16,,0.54,,0.62,,0.73
85,Brad Marchand,2016-17,0.84,0.71,0.41,0.73,0.52,0.82
86,Brad Marchand,2017-18,1.38,0.84,0.49,0.63,0.65,0.89
87,Brad Marchand,2018-19,0.72,1.06,0.58,0.62,1.0,0.94
88,Brad Marchand,2019-20,0.65,0.85,0.66,0.62,1.2,0.73
89,Brad Marchand,2020-21,0.5,0.76,0.65,0.72,0.67,1.1
90,Brad Marchand,2021-22,1.15,0.84,0.79,0.74,0.79,0.75
91,Brad Marchand,2022-23,1.46,0.81,0.53,0.49,0.53,0.74
92,Brad Marchand,2023-24,0.67,0.67,0.65,0.65,0.75,0.82
93,Brady Tkachuk,2018-19,,0.65,,0.55,,0.52
94,Brady Tkachuk,2019-20,,0.58,,0.46,,0.67
95,Brady Tkachuk,2020-21,,0.58,,0.54,,0.68
96,Brady Tkachuk,2021-22,,0.69,,0.65,,0.81
97,Brady Tkachuk,2022-23,,0.78,,0.61,,0.6
98,Brady Tkachuk,2023-24,,0.65,,0.76,,0.75
99,Brayden Point,2016-17,,0.53,,0.54,,0.63
100,Brayden Point,2017-18,0.8,0.65,0.51,0.56,0.87,0.81
101,Brayden Point,2018-19,0.0,0.8,0.5,0.7,0.5,0.66
102,Brayden Point,2019-20,0.89,0.74,0.72,0.58,0.83,0.64
103,Brayden Point,2020-21,0.72,0.74,0.58,0.56,1.08,0.69
104,Brayden Point,2021-22,0.5,0.71,0.44,0.53,0.5,0.75
105,Brayden Point,2022-23,0.52,0.69,0.82,0.71,0.55,0.98
106,Brayden Point,2023-24,0.84,0.74,0.52,0.77,0.94,0.67
107,Brock Nelson,2015-16,0.67,0.41,0.3,0.57,0.67,0.88
108,Brock Nelson,2016-17,,0.56,,0.49,,0.78
109,Brock Nelson,2017-18,,0.48,,0.53,,0.63
110,Brock Nelson,2018-19,0.0,0.55,0.53,0.51,0.71,0.89
111,Brock Nelson,2019-20,0.67,0.67,0.59,0.62,0.95,0.67
112,Brock Nelson,2020-21,0.45,0.49,0.68,0.54,0.58,0.71
113,Brock Nelson,2021-22,,0.6,,0.79,,0.95
114,Brock Nelson,2022-23,0.55,0.59,0.52,0.67,0.89,0.74
115,Brock Nelson,2023-24,0.55,0.65,0.55,0.63,0.45,0.65
116,Cale Makar,2018-19,0.53,,0.32,,1.49,
117,Cale Makar,2019-20,0.8,0.83,0.46,0.49,0.72,0.75
118,Cale Makar,2020-21,0.92,0.84,0.42,0.39,1.23,0.82
119,Cale Makar,2021-22,1.15,0.78,0.6,0.58,1.01,0.94
120,Cale Makar,2022-23,0.82,0.89,0.41,0.52,2.32,0.91
121,Cale Makar,2023-24,0.8,0.88,0.66,0.53,1.14,1.0
122,Charlie Coyle,2015-16,0.41,0.47,0.41,0.49,1.03,0.63
123,Charlie Coyle,2016-17,0.0,0.69,0.55,0.45,1.0,0.56
124,Charlie Coyle,2017-18,0.0,0.58,0.0,0.41,0.89,0.7
125,Charlie Coyle,2018-19,0.69,0.47,0.58,0.36,0.83,0.65
126,Charlie Coyle,2019-20,0.38,0.49,0.44,0.46,0.83,0.75
127,Charlie Coyle,2020-21,0.3,0.4,0.4,0.38,0.69,0.7
128,Charlie Coyle,2021-22,0.79,0.59,0.49,0.43,0.49,0.63
129,Charlie Coyle,2022-23,0.38,0.57,0.38,0.4,0.79,0.88
130,Charlie Coyle,2023-24,0.48,0.63,0.28,0.62,0.66,0.84
131,Chris Kreider,2015-16,0.0,0.48,0.55,0.5,0.45,0.51
132,Chris Kreider,2016-17,0.29,0.5,0.45,0.61,0.49,0.45
133,Chris Kreider,2017-18,,0.64,,0.52,,0.57
134,Chris Kreider,2018-19,,0.56,,0.58,,0.67
135,Chris Kreider,2019-20,0.58,0.54,0.58,0.55,0.58,0.57
136,Chris Kreider,2020-21,,0.4,,0.73,,0.52
137,Chris Kreider,2021-22,0.57,0.61,0.69,0.71,0.93,0.63
138,Chris Kreider,2022-23,0.79,0.45,0.9,0.64,0.49,0.67
139,Chris Kreider,2023-24,0.58,0.61,0.82,0.63,0.6,0.57
140,Clayton Keller,2016-17,,0.58,,0.0,,0.58
141,Clayton Keller,2017-18,,0.65,,0.5,,0.74
142,Clayton Keller,2018-19,,0.63,,0.41,,0.85
143,Clayton Keller,2019-20,0.5,0.55,0.53,0.58,0.78,0.74
144,Clayton Keller,2020-21,,0.62,,0.44,,0.56
145,Clayton Keller,2021-22,,0.64,,0.55,,1.11
146,Clayton Keller,2022-23,,0.7,,0.74,,0.82
147,Clayton Keller,2023-24,,0.75,,0.57,,0.76
148,Cole Caufield,2020-21,0.6,0.32,0.41,0.52,0.6,0.48
149,Cole Caufield,2021-22,,0.52,,0.62,,0.66
150,Cole Caufield,2022-23,,0.47,,0.72,,0.62
151,Cole Caufield,2023-24,,0.54,,0.52,,0.6
152,Connor Bedard,2023-24,,0.77,,0.58,,0.88
153,Connor Mcdavid,2015-16,,0.79,,0.61,,0.84
154,Connor Mcdavid,2016-17,0.48,0.86,0.51,0.58,0.8,0.89
155,Connor Mcdavid,2017-18,,0.9,,0.82,,1.39
156,Connor Mcdavid,2018-19,,0.92,,0.64,,1.22
157,Connor Mcdavid,2019-20,1.15,1.16,1.26,0.73,0.96,0.86
158,Connor Mcdavid,2020-21,1.5,1.02,0.5,0.83,0.96,0.84
159,Connor Mcdavid,2021-22,1.03,0.91,0.5,0.69,0.96,0.98
160,Connor Mcdavid,2022-23,1.04,0.86,0.89,0.79,0.79,1.02
161,Connor Mcdavid,2023-24,1.29,1.2,0.56,0.59,0.96,0.97
162,David Pastrnak,2015-16,,0.54,,0.54,,0.81
163,David Pastrnak,2016-17,0.52,0.76,0.52,0.66,0.82,0.84
164,David Pastrnak,2017-18,1.34,0.74,0.9,0.63,0.65,0.86
165,David Pastrnak,2018-19,0.65,0.77,0.65,0.8,0.9,0.73
166,David Pastrnak,2019-20,0.82,0.93,0.48,0.88,0.7,0.86
167,David Pastrnak,2020-21,0.47,0.77,1.03,0.77,0.52,0.65
168,David Pastrnak,2021-22,0.53,0.69,0.53,0.8,0.95,0.65
169,David Pastrnak,2022-23,0.0,0.71,0.76,0.78,0.53,0.62
170,David Pastrnak,2023-24,0.48,0.79,0.48,0.75,0.63,0.86
171,Drake Batherson,2018-19,,0.57,,0.37,,0.59
172,Drake Batherson,2019-20,,0.56,,0.34,,0.42
173,Drake Batherson,2020-21,,0.5,,0.57,,0.52
174,Drake Batherson,2021-22,,0.78,,0.68,,0.69
175,Drake Batherson,2022-23,,0.61,,0.5,,0.8
176,Drake Batherson,2023-24,,0.67,,0.55,,0.75
177,Dylan Larkin,2015-16,0.0,0.45,0.45,0.48,0.0,0.73
178,Dylan Larkin,2016-17,,0.39,,0.44,,0.97
179,Dylan Larkin,2017-18,,0.7,,0.43,,0.89
180,Dylan Larkin,2018-19,,0.77,,0.59,,1.15
181,Dylan Larkin,2019-20,,0.61,,0.51,,0.78
182,Dylan Larkin,2020-21,,0.6,,0.46,,0.66
183,Dylan Larkin,2021-22,,0.77,,0.65,,0.81
184,Dylan Larkin,2022-23,,0.71,,0.63,,0.85
185,Dylan Larkin,2023-24,,0.68,,0.61,,0.79
186,Dylan Strome,2016-17,,0.38,,0.0,,0.79
187,Dylan Strome,2017-18,,0.7,,0.4,,0.98
188,Dylan Strome,2018-19,,0.75,,0.47,,0.76
189,Dylan Strome,2019-20,0.33,0.68,0.44,0.49,1.12,0.73
190,Dylan Strome,2020-21,,0.46,,0.42,,0.81
191,Dylan Strome,2021-22,,0.55,,0.65,,0.87
192,Dylan Strome,2022-23,,0.69,,0.53,,0.81
193,Dylan Strome,2023-24,0.46,0.72,0.46,0.59,0.53,0.86
194,Elias Pettersson,2018-19,,0.77,,0.64,,0.82
195,Elias Pettersson,2019-20,0.79,0.82,0.51,0.6,0.51,0.8
196,Elias Pettersson,2020-21,,0.5,,0.57,,0.58
197,Elias Pettersson,2021-22,,0.67,,0.65,,0.89
198,Elias Pettersson,2022-23,,0.88,,0.64,,0.8
199,Elias Pettersson,2023-24,0.49,0.84,0.27,0.68,0.63,0.75
200,Erik Karlsson,2015-16,,0.92,,0.43,,0.89
201,Erik Karlsson,2016-17,0.83,0.8,0.32,0.45,0.96,0.87
202,Erik Karlsson,2017-18,,0.94,,0.38,,0.8
203,Erik Karlsson,2018-19,0.81,0.88,0.46,0.23,0.78,1.14
204,Erik Karlsson,2019-20,,0.65,,0.31,,1.13
205,Erik Karlsson,2020-21,,0.49,,0.41,,0.84
206,Erik Karlsson,2021-22,,0.74,,0.4,,0.97
207,Erik Karlsson,2022-23,,0.91,,0.6,,1.09
208,Erik Karlsson,2023-24,,0.69,,0.38,,0.77
209,Evan Bouchard,2018-19,,0.0,,0.38,,0.53
210,Evan Bouchard,2020-21,,0.58,,0.36,,0.47
211,Evan Bouchard,2021-22,0.72,0.6,0.4,0.39,0.73,0.71
212,Evan Bouchard,2022-23,0.9,0.7,0.49,0.34,0.67,0.91
213,Evan Bouchard,2023-24,1.12,0.87,0.43,0.47,0.73,0.97
214,Evgeni Malkin,2015-16,0.67,0.83,0.54,0.71,1.01,0.99
215,Evgeni Malkin,2016-17,0.98,0.73,0.5,0.69,0.74,0.91
216,Evgeni Malkin,2017-18,0.53,0.75,0.53,0.68,0.87,0.97
217,Evgeni Malkin,2018-19,0.58,0.8,0.5,0.58,1.26,0.94
218,Evgeni Malkin,2019-20,0.5,0.92,0.0,0.66,0.58,1.08
219,Evgeni Malkin,2020-21,1.15,0.61,0.5,0.44,1.0,0.86
220,Evgeni Malkin,2021-22,0.79,0.64,0.53,0.71,1.15,0.95
221,Evgeni Malkin,2022-23,,0.8,,0.57,,1.01
222,Evgeni Malkin,2023-24,,0.59,,0.59,,1.15
223,Fabian Zetterlund,2021-22,,0.63,,0.43,,0.43
224,Fabian Zetterlund,2022-23,,0.47,,0.34,,0.61
225,Fabian Zetterlund,2023-24,,0.48,,0.48,,0.69
226,Filip Forsberg,2015-16,0.53,0.62,0.36,0.68,0.99,0.91
227,Filip Forsberg,2016-17,0.48,0.55,0.59,0.66,0.79,1.02
228,Filip Forsberg,2017-18,0.85,0.74,0.78,0.67,0.9,0.81
229,Filip Forsberg,2018-19,0.41,0.57,0.41,0.71,0.41,0.96
230,Filip Forsberg,2019-20,0.58,0.59,0.96,0.54,0.5,0.85
231,Filip Forsberg,2020-21,0.41,0.82,0.52,0.52,0.75,0.79
232,Filip Forsberg,2021-22,0.0,0.75,0.5,0.79,0.82,1.11
233,Filip Forsberg,2022-23,,0.68,,0.6,,0.87
234,Filip Forsberg,2023-24,0.82,0.65,0.52,0.77,0.82,1.05
235,Frank Vatrano,2015-16,,0.27,,0.57,,0.72
236,Frank Vatrano,2016-17,0.0,0.5,0.41,0.48,0.52,0.51
237,Frank Vatrano,2017-18,,0.26,,0.38,,0.5
238,Frank Vatrano,2018-19,,0.5,,0.49,,0.69
239,Frank Vatrano,2019-20,0.0,0.47,0.0,0.52,0.0,0.68
240,Frank Vatrano,2020-21,0.41,0.35,0.41,0.51,0.41,0.63
241,Frank Vatrano,2021-22,0.6,0.43,0.44,0.53,0.57,0.58
242,Frank Vatrano,2022-23,,0.45,,0.57,,0.49
243,Frank Vatrano,2023-24,,0.55,,0.76,,0.62
244,Gustav Nyquist,2015-16,0.0,0.54,0.45,0.41,1.73,0.55
