Player,Season,Unnamed: 0,G,A,TKA
Adam Henrique,2015-16,62482.5,0.375,0.25,0.475
Adam Henrique,2016-17,62401.5,0.24390243902439024,0.24390243902439024,0.5487804878048781
Adam Henrique,2017-18,62318.0,0.2823529411764706,0.3058823529411765,0.49411764705882355
Adam Henrique,2018-19,62234.5,0.21951219512195122,0.2926829268292683,0.47560975609756095
Adam Henrique,2019-20,62158.0,0.36619718309859156,0.23943661971830985,0.36619718309859156
Adam Henrique,2020-21,62100.0,0.26666666666666666,0.2,0.24444444444444444
Adam Henrique,2021-22,62048.5,0.3275862068965517,0.39655172413793105,0.3103448275862069
Adam Henrique,2022-23,61988.5,0.3548387096774194,0.25806451612903225,0.41935483870967744
Adam Henrique,2023-24,61908.0,0.2828282828282828,0.30303030303030304,0.37373737373737376
Adrian Kempe,2016-17,53350.0,0.08,0.16,0.2
Adrian Kempe,2017-18,53295.0,0.18823529411764706,0.24705882352941178,0.3058823529411765
Adrian Kempe,2018-19,53212.0,0.14814814814814814,0.19753086419753085,0.24691358024691357
Adrian Kempe,2019-20,53137.0,0.15942028985507245,0.30434782608695654,0.34782608695652173
Adrian Kempe,2020-21,53074.5,0.25,0.26785714285714285,0.26785714285714285
Adrian Kempe,2021-22,53004.0,0.43529411764705883,0.27058823529411763,0.4
Adrian Kempe,2022-23,52917.5,0.5227272727272727,0.32954545454545453,0.3409090909090909
Adrian Kempe,2023-24,53118.0,0.3902439024390244,0.5853658536585366,0.3902439024390244
Aleksander Barkov,2015-16,2153.5,0.4166666666666667,0.4444444444444444,0.7777777777777778
Aleksander Barkov,2016-17,2087.0,0.3442622950819672,0.5081967213114754,0.8032786885245902
Aleksander Barkov,2017-18,2017.0,0.34177215189873417,0.6455696202531646,1.0379746835443038
Aleksander Barkov,2018-19,1936.5,0.4268292682926829,0.7439024390243902,1.2195121951219512
Aleksander Barkov,2019-20,1860.5,0.3,0.6428571428571429,0.7428571428571429
Aleksander Barkov,2020-21,1797.5,0.48214285714285715,0.6785714285714286,0.7321428571428571
Aleksander Barkov,2021-22,1731.0,0.5324675324675324,0.7012987012987013,0.8961038961038961
Aleksander Barkov,2022-23,1648.0,0.3146067415730337,0.7415730337078652,0.898876404494382
Aleksander Barkov,2023-24,1555.0,0.31958762886597936,0.7319587628865979,0.979381443298969
Alex Debrincat,2017-18,10508.5,0.34146341463414637,0.2926829268292683,0.4024390243902439
Alex Debrincat,2018-19,10426.5,0.5,0.4268292682926829,0.6219512195121951
Alex Debrincat,2019-20,10346.0,0.25316455696202533,0.3924050632911392,0.569620253164557
Alex Debrincat,2020-21,10280.5,0.6153846153846154,0.46153846153846156,0.5961538461538461
Alex Debrincat,2021-22,10213.5,0.5,0.45121951219512196,0.8170731707317073
Alex Debrincat,2022-23,10131.5,0.32926829268292684,0.47560975609756095,0.5365853658536586
Alex Debrincat,2023-24,10437.5,0.32926829268292684,0.4878048780487805,0.5975609756097561
Alex Ovechkin,2015-16,23995.0,0.6043956043956044,0.3076923076923077,0.32967032967032966
Alex Ovechkin,2016-17,23902.0,0.4,0.4105263157894737,0.37894736842105264
Alex Ovechkin,2017-18,23801.5,0.6037735849056604,0.4716981132075472,0.36792452830188677
Alex Ovechkin,2018-19,23704.5,0.625,0.48863636363636365,0.5909090909090909
Alex Ovechkin,2019-20,23622.5,0.6842105263157895,0.2631578947368421,0.3815789473684211
Alex Ovechkin,2020-21,23559.5,0.52,0.4,0.3
Alex Ovechkin,2021-22,23493.0,0.6144578313253012,0.5421686746987951,0.42168674698795183
Alex Ovechkin,2022-23,23415.0,0.5753424657534246,0.4520547945205479,0.4246575342465753
Alex Ovechkin,2023-24,23337.0,0.37349397590361444,0.40963855421686746,0.3132530120481928
Alex Tuch,2016-17,11909.5,0.0,0.0,0.3333333333333333
Alex Tuch,2017-18,11857.5,0.21428571428571427,0.2653061224489796,0.7142857142857143
Alex Tuch,2018-19,11768.0,0.25925925925925924,0.4074074074074074,0.8888888888888888
Alex Tuch,2019-20,11696.5,0.25806451612903225,0.20967741935483872,0.5806451612903226
Alex Tuch,2020-21,11628.5,0.2972972972972973,0.2702702702702703,0.7027027027027027
Alex Tuch,2021-22,11566.5,0.24,0.52,0.8
Alex Tuch,2022-23,11504.5,0.4864864864864865,0.581081081081081,0.8648648648648649
Alex Tuch,2023-24,11690.0,0.29333333333333333,0.49333333333333335,1.0933333333333333
Anze Kopitar,2015-16,54729.5,0.313953488372093,0.5930232558139535,0.5
Anze Kopitar,2016-17,54648.5,0.15789473684210525,0.5263157894736842,0.3815789473684211
Anze Kopitar,2017-18,54567.5,0.4186046511627907,0.6744186046511628,0.6744186046511628
Anze Kopitar,2018-19,54484.0,0.2716049382716049,0.4691358024691358,0.7037037037037037
Anze Kopitar,2019-20,54408.5,0.3,0.5857142857142857,0.5571428571428572
Anze Kopitar,2020-21,54345.5,0.23214285714285715,0.6607142857142857,0.21428571428571427
Anze Kopitar,2021-22,54273.5,0.22727272727272727,0.5795454545454546,0.5795454545454546
Anze Kopitar,2022-23,54185.5,0.3409090909090909,0.5795454545454546,0.5909090909090909
Anze Kopitar,2023-24,54098.5,0.313953488372093,0.5348837209302325,0.5930232558139535
Artemi Panarin,2015-16,17036.0,0.367816091954023,0.5977011494252874,0.42528735632183906
Artemi Panarin,2016-17,16949.5,0.36046511627906974,0.5116279069767442,0.7209302325581395
Artemi Panarin,2017-18,16863.0,0.3333333333333333,0.6896551724137931,0.8275862068965517
Artemi Panarin,2018-19,16775.0,0.3707865168539326,0.7303370786516854,0.47191011235955055
Artemi Panarin,2019-20,16694.5,0.4583333333333333,0.8888888888888888,0.8055555555555556
Artemi Panarin,2020-21,16637.5,0.40476190476190477,0.9761904761904762,0.5
Artemi Panarin,2021-22,16569.0,0.29473684210526313,0.8842105263157894,0.7578947368421053
Artemi Panarin,2022-23,16477.0,0.3258426966292135,0.7303370786516854,0.4044943820224719
Artemi Panarin,2023-24,16383.5,0.5510204081632653,0.826530612244898,0.3673469387755102
Auston Matthews,2016-17,4992.5,0.5,0.3409090909090909,0.9090909090909091
